NOM_MUN,CVE_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020,INS_911
Etchojoa,26026,61309,3.55808924710045,27.6604924194423,1.54828594293554,3.02961015205213,1.98598703228862,6.99015172548956,34.2523994445801,70.4806798349345,86.0561235588427,55.0103346063358,Bajo,0.861385280649371,1053.0
Fronteras,26027,9041,1.75189393939394,23.6437231084164,0.5864129232131,1.38304934720071,0.851958397875636,1.90412930366434,14.5825605392456,19.9203627917266,60.5382733310031,59.0513582154044,Muy bajo,0.924662086371751,13.0
Granados,26028,1009,2.15736040609137,38.0710659898477,0.0991080277502478,0.0,0.0,0.0,5.84795331954956,100.0,70.6161137440758,57.9704555419089,Muy bajo,0.907736654824634,0.0
Guaymas,26029,156863,2.29016695071181,24.322453533922,1.52174611848661,0.782410234980231,1.61560963065351,6.43114311431143,19.2073554992676,14.7734009932234,60.3537981269511,58.5191329127171,Muy bajo,0.916328178843199,3056.0
Hermosillo,26030,936263,1.43975985733097,17.5627736803191,0.187076872472866,0.258912351731294,0.488080386655746,1.79178579080755,13.8962154388428,3.71391371868802,47.1749229697889,60.4437538603046,Muy bajo,0.946465064338353,31259.0
Huachinera,26031,1186,3.8961038961039,46.1038961038961,1.35021097046413,0.253164556962025,0.590717299578059,1.35021097046413,12.6903553009033,100.0,78.1456953642384,56.5534097613117,Muy bajo,0.885547690039241,0.0
Huásabas,26032,888,1.83098591549296,35.9154929577465,0.337837837837838,0.225225225225225,0.112612612612613,0.0,9.03009986877441,100.0,63.5593220338983,58.0876552525352,Muy bajo,0.909571839183216,0.0
Huatabampo,26033,77682,3.26853633019473,27.9274901818428,2.21670417216316,1.50021985980704,3.30177698455808,4.39342990170719,26.4428462982178,60.9639298679231,79.4282074870851,56.1992942409049,Bajo,0.880002733821273,1041.0
Huépac,26034,943,1.08991825613079,33.8775510204082,0.0,0.212992545260916,0.0,0.106496272630458,8.25688076019287,100.0,63.1578947368421,58.3401720959105,Muy bajo,0.913525901516341,0.0
Imuris,26035,12536,3.03870466895863,35.4108905400909,0.891038696537678,0.88255261371351,1.37474541751527,1.64574143196471,17.4418601989746,44.7670708359923,67.3273523889005,57.8331698923543,Muy bajo,0.905586952616549,157.0
Magdalena,26036,33049,1.52841119191421,25.2044212515922,0.528891455667346,0.571445940606097,0.398188394784036,1.07314403842646,14.0928010940552,7.92762262095676,60.5964912280702,59.5683507417418,Muy bajo,0.932757469822509,405.0
